performer,user_name,comment,video_id,likes_count
MarilynManson,Stefanie Kortz,🖤🖤🖤,CVzLDAv6OwU,0
MarilynManson,Jeanette Hager,Marilyn is a real true life God bless us,WTviW6w_-wI,0
MarilynManson,💋Damaris 💋,"( \_/ )
     (  🕶 )
   /c🎸c\",WTviW6w_-wI,0
MarilynManson,Kaisar Leonardo Nitzsche,Reminds me of a joke Heino song on Instagram about a gypsy girl who fingerd him with her pinky finger,WTviW6w_-wI,0
MarilynManson,melissa miller,Truly a rock God🤘😌🤘,VdV1Zc_PFdg,0
MarilynManson,NightwishTarja,he promotion for this new era is nothing short of incredible,KRKsF17wY30,0
MarilynManson,Дмитрий Захаров,Это Я каждое утро...,VdV1Zc_PFdg,0
MarilynManson,NightwishTarja,"All these fools though him dead, be dead themselves, MM just returned from the dead",_BEgoKiJGQQ,0
MarilynManson,NightwishTarja,"somewhat looked at in a taboo way. Now, i realise in my older years",F9YJS4nTNsM,0
MarilynManson,NightwishTarja,ansons music must mean so much to hera lot to me too but look those tattoo,PSMj1C9B_JY,0
MarilynManson,daydreamer,A song about Lisa Marie Presley?,qAmUf-kK_l4,0
MarilynManson,NightwishTarja,Екс-президент США Джиммі Картер відмовився від лікування,rTDupUzDLBI,0
MarilynManson,Daniela Lazar,😭❤🔥🔥,CVzLDAv6OwU,0
MarilynManson,SuperFlyingGlydon74,"This album doesn’t deserve all the hate it gets, (apart from Tattooed In Reverse) same goes for Born Villain, EAT ME, DRINK ME and High End Of Low",bsRwbf-nwAg,1
MarilynManson,SuperFlyingGlydon74,"Lyrics: 
Smell your blood
It's like a carnival, or state fair
Skin is cotton candy
So easy to melt in my mouth
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
I need a raincoat for tomorrow
I need a raincoat for tomorrow
It's about how much people cry
When you die
It's not about the storm of tears
That you make when you're alive
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Past the points of no return",C7VXrHLyUQk,1
MarilynManson,stephen sheldon,Not a fan but luv this fuckin tune😵‍💫,bsRwbf-nwAg,0
MarilynManson,Crystal Rowan,coca y mucha....,VdV1Zc_PFdg,0
MarilynManson,Paige Barnum,💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋,C7VXrHLyUQk,1
MarilynManson,Paige Barnum,Baby I want you to teach me how to use a 🎸 and the piano.,C7VXrHLyUQk,1
MarilynManson,Samuel Hotene,Love it...this is powerful,VdV1Zc_PFdg,0
MarilynManson,Kennny Powers,приятный клип. ни4ё так ..,otSSwS_Nh9A,0
MarilynManson,John O'Rourke,"The footage of them dissing each other on stage, was well... staged.",ip27kY93gCA,1
MarilynManson,NightwishTarja,Felicidades y saludos desde la Ciudad de México Mr. Manson,VdV1Zc_PFdg,0
MarilynManson,John O'Rourke,"Man, this song really sounds like another song, the name of which I do not know. Can someone please enlighten me?",VdV1Zc_PFdg,1
MarilynManson,NightwishTarja,Good to see him still making socially relevant music smart guy and terrific,bmblT8_9-7U,0
MarilynManson,DeKyle,Выпивал 2 недели. Потом тяжко было;),VdV1Zc_PFdg,0
MarilynManson,Doğancan Akdoğan,🖤🖤🖤🖤,uhqm4vRW8qA,0
MarilynManson,NightwishTarja,pretty are always kept behind glass to defend herself from kids making,otSSwS_Nh9A,0
MarilynManson,Kaby Lake,aweesome,FniF0kSvWGg,0
MarilynManson,NightwishTarja,"drives behind and the guitar just winks, the synth completes everything",AgH1zQBmv1Q,0
MarilynManson,Baştıray Yıltürk,"Why is this masterpiece so underrated?
Just 3m",sq0Ax_7qisk,0
MarilynManson,NightwishTarja,His voice is only becoming gold over the years! MM fan for life,WTviW6w_-wI,0
MarilynManson,Rone Silva,Você e muito bom ❤️😍,F9YJS4nTNsM,0
