performer,user_name,comment,video_id,likes_count
IceNineKill,AquariumStuff,American psycho af,ozOb5FcnDf4,0
IceNineKill,Beckett Kamp,The sadness I feel that y’all are coming close to Florida. My two favorite bands! Ice Nine Kills & Metallica!,aDxtaky0ONU,0
IceNineKill,Katy,Yay more Bill Mosley!!!,1XP0Mu1dETo,0
IceNineKill,Beckett Kamp,I love y’all Ice Nine Kills!,zRFTE3tFrmQ,0
IceNineKill,Beckett Kamp,I’m gonna do it!,zRFTE3tFrmQ,0
IceNineKill,Katy,Legit yelled in excitement when I realized Joe Bob was the judge!!!!  Again when I saw Bill Moseley.  Even pulled the wiki to see the grabbed Scout Taylor-Compton from the Rob Zombie Halloween remake.  Such true horror fans!  Love this band!,kI8OlBF8nHw,0
IceNineKill,Mickey Ridenbaugh,My brother just passed away from a overdose after battle demons and I’m dedicating this song to him and I’m broken I’m just hoping you are pain free brother and somewhere in the galaxy as u always said REST EASY JOSHUA BARNABUS RIDENBAUGH FLY HIGH 😇👼🌌🪐🚀 #dontdodrugs #resteasybrother #flyhigh #restinpeacejoshuaridenbaugh,1XP0Mu1dETo,0
IceNineKill,Jacky Ray,Views doesn't match the quality smh this is a masterpiece,kI8OlBF8nHw,0
IceNineKill,Sean Basile,Can't believe I'm just finding this now. This is beyond great,ozOb5FcnDf4,0
IceNineKill,Unhurtable Gaming,These songs based on movies are so great and Spencer your voice with autotune is great for the songs,1KYeNFwyeEk,0
IceNineKill,Kim Mertz,That thumbnail holy shit,1XP0Mu1dETo,0
IceNineKill,David Valencia,Andrew Brynarski is Leatherface again in this music video. Time for a sequel to end the franchise.,kI8OlBF8nHw,0
IceNineKill,Lisa Helson,The killing effects are so cool and wicked! Yall did incredible with this mv!,kI8OlBF8nHw,0
IceNineKill,Tjpool_gaming,I get to sing with the band and I love ink if you go to my yt and go the video,r06-ASIawww,0
IceNineKill,masondog,This song is a absolute FUCKING BANGER,jc_n2vCavCY,0
IceNineKill,Morgan Reichel,"Anyway, did they catch him?",zRFTE3tFrmQ,0
